PC1,PC2,PC3
0.08252880775005295,0.06170895928335517,0.049241140887670995
0.050455744131379814,-0.012715863826690158,0.043543712680517155
0.050455744131379814,-0.012715863826690158,0.043543712680517155
0.050477411115760526,-0.012709615516580033,0.04354060061855728
0.060752956202279565,0.031173995485980537,0.019730645380041986
0.08250881496598378,0.061702862508254415,0.04923811600902868
0.050477411115760526,-0.012709615516580033,0.04354060061855728
0.06078776682588106,0.031187110814604967,0.01972798516611288
0.03552273609269317,-0.012274446894164088,-0.017703841632273204
0.01697053553492013,-0.05654704197294477,-0.006273303819938287
0.08075432532903093,-0.08297906418173817,0.03783527541400492
0.05925493319251597,-0.016067982746457172,0.016783083207109428
0.08281318371498785,-0.06562014388544103,-0.004306874076280581
0.08078138524755982,-0.08295894967276478,0.037835290542403414
0.03552273609269317,-0.012274446894164088,-0.017703841632273204
0.03554789507270874,-0.012265547940942109,-0.01770566107254679
0.016995334177273728,-0.05653860606777096,-0.0062755495072401545
0.0592350056668155,-0.016073772554797746,0.016787508626152206
0.08275605275029048,-0.06563733683988482,-0.004304565728357381
0.03554789507270874,-0.012265547940942109,-0.01770566107254679
0.019253545797349038,0.025627479416343125,0.022029669955135386
0.08275605275029048,-0.06563733683988482,-0.004304565728357381
-0.04170178246644088,-0.009545530427600661,0.0628749973931164
0.08281318371498785,-0.06562014388544103,-0.004306874076280581
0.03688096156727606,-0.06551526434482732,-0.02625840720532953
-0.04170178246644088,-0.009545530427600661,0.0628749973931164
-0.04167852036045012,-0.009537534969710264,0.06287522785917365
0.01922056504002276,0.025617720256058227,0.022028711980023714
0.01922056504002276,0.025617720256058227,0.022028711980023714
0.019253545797349038,0.025627479416343125,0.022029669955135386
-0.04167852036045012,-0.009537534969710264,0.06287522785917365
0.03684925932895558,-0.06552489694107026,-0.02625590840048718
-0.09066138386904044,0.10696352448707394,-0.04116815929118689
-0.03713223587071388,0.10088844198068707,-0.015993824081747078
-0.09066515840093081,0.10696187750943037,-0.041166869012522485
-0.03712355745382885,0.10089314773953709,-0.015999135389504454
-0.0734870388974561,0.05608094803316722,0.05420500139191751
-0.09066515840093081,0.10696187750943037,-0.041166869012522485
-0.09066138386904044,0.10696352448707394,-0.04116815929118689
-0.07346577609257562,0.05608965171296515,0.054195145210142466
-0.0708247051978754,-0.03706409800718944,-0.018707435858139304
-0.08212382971597665,-0.041101289496851226,0.04799025414307241
-0.043082146202165335,-0.006713566035491718,0.05520877608709254
-0.0708078133318745,-0.03708645431627649,-0.018707976150742336
-0.04303705590197346,-0.006671844459013274,0.05501002557089449
-0.04303705590197346,-0.006671844459013274,0.05501002557089449
-0.08212382971597665,-0.041101289496851226,0.04799025414307241
-0.07082470584924548,-0.037064098240837895,-0.01870743587192232
-0.08211173364377092,-0.041098457181686004,0.04798824099533174
-0.07080852991565456,-0.03708461066801348,-0.018707639829846183
-0.043082146202165335,-0.006713566035491718,0.05520877608709254
-0.08211173364377092,-0.041098457181686004,0.04798824099533174
-0.030914576849302218,-0.013985889472051486,0.02436580378879782
0.0028267693822840913,0.008922453463348332,-0.0001997722857424297
-0.030937385890818944,-0.014020176682530394,0.024575430104044452
-0.08547444113071553,-0.05360560179823243,0.008974848649191156
-0.06981571724890806,-0.03518664274113207,0.03436919193305067
0.002857966302821653,0.00893254632086363,-0.00021113669976018969
-0.0855227204653799,-0.05362166620065536,0.008976052076689951
0.0028267693822840913,0.008922453463348332,-0.0001997722857424297
0.002857966302821653,0.00893254632086363,-0.00021113669976018969
-0.06981571724890806,-0.03518664274113207,0.03436919193305067
-0.06986378235175923,-0.03520021435887106,0.034369081914760034
-0.06986378235175923,-0.03520021435887106,0.034369081914760034
-0.07650702280014549,-0.040782342745244796,0.0868195274290618
-0.011968085906410002,-0.051531745376688254,0.03178136289917871
-0.011968085906410002,-0.051531745376688254,0.03178136289917871
-0.01194443673601902,-0.05152354532398938,0.03178161427883111
-0.07726726820798246,-0.09329495764471671,-0.01953424717770985
-0.07650986045306211,-0.040783436596439473,0.0868191632479691
-0.01194443673601902,-0.05152354532398938,0.03178161427883111
-0.07727697685539127,-0.09329896090894732,-0.01953469679621781
-0.07291134266872441,-0.06599349245945253,-0.013479511092837427
-0.07727697685539127,-0.09329896090894732,-0.01953469679621781
-0.0647055716147111,-0.023372262672989287,-0.04257482852551606
0.014628064538752266,-0.08690939830046854,-0.013675619566738809
-0.06471645164533907,-0.023377028059251483,-0.042568181392558656
-0.06471211824112842,-0.02334220733154938,-0.04257824682227933
0.014639984902458502,-0.08690502050574932,-0.013675197865520343
-0.07726726820798246,-0.09329495764471671,-0.01953424717770985
-0.06472858748102335,-0.023348435797888922,-0.04257516435853194
-0.07286855519610803,-0.06597870779753577,-0.013486612099021248
-0.034612673990115646,-0.10901724448054703,0.03749149585026518
-0.034610936013934876,-0.10901642158175215,0.03748895442891144
-0.04861426667707338,0.013398732537489346,-0.07609067968542621
-0.034769008166416704,0.05539591287020885,-0.07922362678567527
-0.04859852939741534,0.013405926570188721,-0.07609652837218892
-0.07291134266872441,-0.06599349245945253,-0.013479511092837427
-0.03472901619372059,0.05541065544478252,-0.07923837317964712
-0.05097737954736113,0.022411091494752445,0.0006897082289144679
-0.07286855519610803,-0.06597870779753577,-0.013486612099021248
-0.05097371386306755,0.02241256084898658,0.0006847109377965347
0.00994127038006427,0.08980845154932737,-0.02697010520819613
-0.03472901619372059,0.05541065544478252,-0.07923837317964712
0.06079507529747631,0.08850314674912167,-0.0273550153330751
-0.034769008166416704,0.05539591287020885,-0.07922362678567527
0.009899284410455492,0.0897935716729332,-0.026968523336170003
0.060788432426922154,0.08849962960277084,-0.02735230852200943
0.009899284410455492,0.0897935716729332,-0.026968523336170003
0.00994127038006427,0.08980845154932737,-0.02697010520819613
0.060788432426922154,0.08849962960277084,-0.02735230852200943
0.06079507529747631,0.08850314674912167,-0.0273550153330751
0.07648177040482926,-0.0005636311775100078,-0.045155642762527995
0.07649032784869782,-0.0005612011228749722,-0.0451594709958684
-0.03531321713380287,0.032400593834353696,0.003924594859456404
-0.035311479400876575,0.032401416641674605,0.00392205289035554
-0.011169830834200985,-0.010222291009294244,-0.004229393792985024
0.05364707129769894,-0.04455457549974397,-0.01026662744243833
0.006025532789927421,-0.029390175971703274,0.039538632982775046
0.006025532789927421,-0.029390175971703274,0.039538632982775046
-0.011169830834200985,-0.010222291009294244,-0.004229393792985024
0.006054482906908492,-0.02938162104071107,0.03953645146221821
0.05362667929052091,-0.04456033365579597,-0.010263913863240258
0.006054482906908492,-0.02938162104071107,0.03953645146221821
-0.01118842399702185,-0.010227398155778502,-0.004229234104231778
-0.01118842399702185,-0.010227398155778502,-0.004229234104231778
0.018948171863342095,-0.024518263507386347,-0.043648830427133495
-0.011103049540984443,-0.032893021510944295,-0.042186230273758694
0.0221620527877395,-0.03150801168364399,-0.03567148971841903
-0.011118096508142356,-0.032896643887116966,-0.042189628452055455
-0.011103049540984443,-0.032893021510944295,-0.042186230273758694
0.022212818361342077,-0.03149365707500555,-0.03567104744185475
0.01891507055841355,-0.024530298181296782,-0.04364830622725134
-0.011118096508142356,-0.032896643887116966,-0.042189628452055455
0.08673267615423912,-0.04742516344870855,-0.01644180938328201
0.004166567327490771,-0.06856794605327331,-0.007852849940486678
0.09293731159496069,-0.038494489847750765,-0.014716880354119298
-0.06317136484706073,-0.08010052330026729,-0.03494650964268264
0.09290357445828397,-0.038487774252856495,-0.014714133142905032
0.08678950366750572,-0.047389323954719474,-0.016435607827843337
0.09290357445828397,-0.038487774252856495,-0.014714133142905032
0.09293731159496069,-0.038494489847750765,-0.014716880354119298
-0.06316017966567446,-0.08007726960475431,-0.03494147921930538
0.004132046616503146,-0.06855904365827947,-0.007855135298223426
-0.06317136484706073,-0.08010052330026729,-0.03494650964268264
-0.06316017966567446,-0.08007726960475431,-0.03494147921930538
-0.03922934735134227,-0.011695243059312908,-0.007906955066842448
-0.039222269458347635,-0.011691500103804868,-0.007907544470956967
-0.06400804228717082,0.03109382469949785,-0.053510431794655484
0.008397317854228972,-0.020474104314474387,0.05892987929899263
-0.039222269458347635,-0.011691500103804868,-0.007907544470956967
-0.06401535264064183,0.0310921428701143,-0.05350659581262908
0.008397317573205715,-0.020474104474789503,0.058929879526255016
-0.03922934735134227,-0.011695243059312908,-0.007906955066842448
-0.053783077074548935,-0.005475850108423723,0.01572356430907581
-0.06400804228717082,0.03109382469949785,-0.053510431794655484
-0.06401535264064183,0.0310921428701143,-0.05350659581262908
-0.05379015519540652,-0.005479593203602978,0.015724153942987165
-0.08954691449922933,0.016992396494717142,-0.02349922919180272
-0.06937543433373052,-0.027671621639078433,-0.017893317457627074
-0.1074073554052018,-0.01276881101377566,-0.04820349060533289
-0.06940684485977075,-0.027678867461054718,-0.017904540769291905
-0.10736680996089176,-0.01275619899159586,-0.04819957196405192
-0.08953908200546906,0.016995354319529234,-0.023501641163620676
-0.1074073554052018,-0.01276881101377566,-0.04820349060533289
-0.10736680996089176,-0.01275619899159586,-0.04819957196405192
0.0065374549104650695,0.05143625863224197,-0.032773140840489365
0.006544670928481287,0.051466535563994595,-0.03277825904312262
-0.051119863306830354,0.008204292884266157,-0.07014739608196581
0.009879698354936106,0.02405940886618885,0.020516155861122303
-0.0511001993266065,0.008212017189415647,-0.07015582793467298
0.009916396741813488,0.02403734528873942,0.020512669017462806
-0.051119863306830354,0.008204292884266157,-0.07014739608196581
-0.0511001993266065,0.008212017189415647,-0.07015582793467298
0.009916396117352047,0.02403734512559904,0.02051266822838694
0.009900619437763339,0.024065890908886167,0.0205183210141946
0.0065497173519849065,0.05144233560161778,-0.032781186835348204
0.006523081355164743,0.05145787965834174,-0.032768434033394286
0.11517482893577102,-0.05244371362589784,0.01764847954122319
0.10358191725658876,-0.08035828992960506,-0.008006548900274742
0.10362573515751092,-0.0803271167398967,-0.008004177646199555
0.11512189720746745,-0.05246127810459292,0.017650740065958844
0.028133272644873798,-0.06297343504907671,-0.01456301107666269
0.10358191725658876,-0.08035828992960506,-0.008006548900274742
0.028186203949669274,-0.06295587066435909,-0.014565271844978132
0.10362573515751092,-0.0803271167398967,-0.008004177646199555
0.0023318453127621173,-0.04500244637287615,-0.08447930097168115
0.002331844700236896,-0.04500244651668108,-0.08447930135796988
0.028133272644873798,-0.06297343504907671,-0.01456301107666269
0.028186203949669274,-0.06295587066435909,-0.014565271844978132
-0.005739806357223121,0.10635368599649246,0.07639696729844278
0.03114242979619093,0.06884684142235956,-0.0024074449225002462
-0.005737117507043183,0.1063550031045833,0.07639441227847733
0.03114476558476363,0.0688474673523455,-0.002408505337392385
-0.07117061299760707,0.010511559915588093,-0.060928666397442856
0.03114476558476363,0.0688474673523455,-0.002408505337392385
0.03114242979619093,0.06884684142235956,-0.0024074449225002462
-0.07118093953395954,0.010510175310652072,-0.06093381728454787
-0.07118093953395954,0.010510175310652072,-0.06093381728454787
-0.037179192159444256,0.026106996678186997,-0.010421086795243124
